0.005		-21.1515
0.01		-21.1526
0.015		-21.1521
0.02		-21.1491
0.025		-21.1432
0.03		-21.1341
0.035		-21.1219
0.04		-21.1068
0.045		-21.0893
0.05		-21.0703
0.055		-21.0506
0.06		-21.0311
0.065		-21.0126
0.07		-20.9957
0.075		-20.9809
0.08		-20.9684
0.085		-20.9581
0.09		-20.9498
0.095		-20.9431
0.1		-20.9372
0.105		-20.9317
0.11		-20.9258
0.115		-20.919
0.12		-20.9108
0.125		-20.9005
0.13		-20.8878
0.135		-20.872
0.14		-20.8527
0.145		-20.8294
0.15		-20.8015
0.155		-20.7686
0.16		-20.7304
0.165		-20.687
0.17		-20.6387
0.175		-20.5862
0.18		-20.5309
0.185		-20.4743
0.19		-20.4185
0.195		-20.3655
0.2		-20.3176
0.205		-20.2765
0.21		-20.2435
0.215		-20.2193
0.22		-20.2036
0.225		-20.1954
0.23		-20.1927
0.235		-20.1931
0.24		-20.1936
0.245		-20.1911
0.25		-20.1828
0.255		-20.1662
0.26		-20.1394
0.265		-20.1014
0.27		-20.0519
0.275		-19.9913
0.28		-19.9207
0.285		-19.8418
0.29		-19.7564
0.295		-19.6667
0.3		-19.5746
0.305		-19.4821
0.31		-19.3909
0.315		-19.3023
0.32		-19.2173
0.325		-19.1369
0.33		-19.0617
0.335		-18.9922
0.34		-18.9289
0.345		-18.8722
0.35		-18.8223
0.355		-18.779
0.36		-18.7421
0.365		-18.711
0.37		-18.6846
0.375		-18.6615
0.38		-18.6404
0.385		-18.6194
0.39		-18.597
0.395		-18.5719
0.4		-18.5432
0.405		-18.5103
0.41		-18.4732
0.415		-18.4324
0.42		-18.3889
0.425		-18.3439
0.43		-18.299
0.435		-18.2556
0.44		-18.2151
0.445		-18.1785
0.45		-18.1466
0.455		-18.1196
0.46		-18.0971
0.465		-18.0784
0.47		-18.0625
0.475		-18.0482
0.48		-18.0344
0.485		-18.0201
0.49		-18.0045
0.495		-17.9872
0.5		-17.9686
0.503727		-17.9491
0.507453		-17.983
0.51118		-18.0214
0.514907		-18.0635
0.518633		-18.1083
0.52236		-18.1548
0.526086		-18.2018
0.529813		-18.2483
0.53354		-18.2931
0.537266		-18.3352
0.540993		-18.3738
0.54472		-18.408
0.548446		-18.4372
0.552173		-18.461
0.555899		-18.4791
0.559626		-18.4916
0.563353		-18.4985
0.567079		-18.5002
0.570806		-18.497
0.574533		-18.4893
0.578259		-18.4778
0.581986		-18.4631
0.585713		-18.4459
0.589439		-18.4268
0.593166		-18.4066
0.596892		-18.3862
0.600619		-18.3663
0.604346		-18.3479
0.608072		-18.3318
0.611799		-18.3188
0.615526		-18.3099
0.619252		-18.3057
0.622979		-18.3068
0.626705		-18.3137
0.630432		-18.3267
0.634159		-18.3457
0.637885		-18.3705
0.641612		-18.4006
0.645339		-18.4353
0.649065		-18.4736
0.652792		-18.5145
0.656518		-18.5567
0.660245		-18.5991
0.663972		-18.6403
0.667698		-18.6792
0.671425		-18.715
0.675152		-18.7469
0.678878		-18.7743
0.682605		-18.797
0.686332		-18.815
0.690058		-18.8285
0.693785		-18.8377
0.697511		-18.8431
0.701238		-18.8453
0.704965		-18.8449
0.708691		-18.8425
0.712418		-18.8387
0.716145		-18.8343
0.719871		-18.8299
0.723598		-18.8264
0.727324		-18.8245
0.731051		-18.8252
0.734778		-18.8293
0.738504		-18.8378
0.742231		-18.8517
0.745958		-18.8716
0.749684		-18.8983
0.753411		-18.9323
0.757138		-18.9736
0.760864		-19.0221
0.764591		-19.0769
0.768317		-19.1371
0.772044		-19.201
0.775771		-19.2667
0.779497		-19.3319
0.783224		-19.3941
0.786951		-19.4508
0.790677		-19.4997
0.794404		-19.5386
0.79813		-19.5659
0.801857		-19.5805
0.805584		-19.5816
0.80931		-19.5695
0.813037		-19.5446
0.816764		-19.5081
0.82049		-19.4614
0.824217		-19.4063
0.827944		-19.3448
0.83167		-19.2788
0.835397		-19.2104
0.839123		-19.1416
0.84285		-19.0743
0.846577		-19.0103
0.850303		-18.9514
0.85403		-18.8996
0.857757		-18.8565
0.861483		-18.8239
0.86521		-18.8037
0.868936		-18.7974
0.872663		-18.8063
0.877377		-18.8312
0.88209		-18.8532
0.886804		-18.8794
0.891517		-18.9101
0.896231		-18.9454
0.900945		-18.9851
0.905658		-19.0291
0.910372		-19.0771
0.915085		-19.1289
0.919799		-19.1838
0.924512		-19.2413
0.929226		-19.3008
0.93394		-19.3615
0.938653		-19.4228
0.943367		-19.4838
0.94808		-19.5438
0.952794		-19.6021
0.957507		-19.6579
0.962221		-19.7108
0.966935		-19.7601
0.971648		-19.8054
0.976362		-19.8466
0.981075		-19.8833
0.985789		-19.9156
0.990502		-19.9436
0.995216		-19.9675
0.99993		-19.9875
1.00464		-20.0041
1.00936		-20.0178
1.01407		-20.0291
1.01878		-20.0386
1.0235		-20.0468
1.02821		-20.0544
1.03292		-20.0618
1.03764		-20.0697
1.04235		-20.0784
1.04707		-20.0884
1.05178		-20.0999
1.05649		-20.1133
1.06121		-20.1287
1.06592		-20.1462
1.07063		-20.1658
1.07535		-20.1874
1.08006		-20.2111
1.08477		-20.2366
1.08949		-20.2638
1.0942		-20.2925
1.09891		-20.3224
1.10363		-20.3535
1.10834		-20.3853
1.11306		-20.4177
1.11777		-20.4505
1.12248		-20.4834
1.1272		-20.5163
1.13191		-20.5489
1.13662		-20.581
1.14134		-20.6124
1.14605		-20.6431
1.15076		-20.6727
1.15548		-20.7013
1.16019		-20.7285
1.1649		-20.7544
1.16962		-20.7787
1.17433		-20.8016
1.17905		-20.8227
