 written on 27Jun2024 at 19:21:55 
   2.5102669999999998        0.0000000000000000        0.0000000000000000     
  -1.2551334999999999        2.1739549999999999        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        15.000000000000000     
          12
         151
    2    1    1    1    2    2    1    1    1    1    1    2    1    1    1
    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1
    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1
    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1
    1    1    1    1    2    1    1    1    1    1    2    2    1    1    1
    2

   -8   -4    0
    8   10    0.40080687E-04  0.13207864E-01
    9   10   -0.27907728E-02  0.56572623E-02
   10   10    0.77376880E-03 -0.14305817E-01
   11   10    0.41741723E-02  0.89415105E-02
   12   10    0.41559536E-02 -0.20856426E-01
    1   11    0.54424540E-04  0.61637098E-02
    2   11   -0.27065898E-01 -0.21765918E-01
    3   11    0.63144085E-02 -0.11724867E-01
    4   11    0.15379031E-01 -0.75336161E-02
    5   11   -0.11310596E-01 -0.19224197E-01
    6   11    0.96329884E-02 -0.30342249E-01
    7   11   -0.13897725E-01 -0.24795937E-03
    8   11   -0.11738466E-01  0.10645948E-01
    9   11    0.26637509E-02 -0.99526592E-02
   10   11   -0.31612786E-02  0.19394969E-01
   11   11    0.70479408E-02  0.17340620E-01
   12   11   -0.22772065E-01 -0.65301415E-02
    1   12    0.27180339E-02  0.17921396E-01
    2   12   -0.35159175E-02  0.26076081E-01
    3   12   -0.82361074E-02 -0.10048070E-01
    4   12    0.87551727E-02 -0.11524261E-01
    5   12   -0.18445657E-01 -0.18755188E-02
    6   12    0.42681902E-01 -0.33169990E-01
    7   12   -0.29683661E-02  0.10193064E-01
    8   12    0.19871772E-02  0.21981734E-02
    9   12    0.16736157E-01 -0.21743037E-01
   10   12   -0.20981600E-01 -0.19669510E-02
   11   12   -0.80346804E-02 -0.37835795E-01
   12   12   -0.19897390E-01 -0.10911897E-01

   -7   -5    0
    1    1    0.84987280E-02 -0.65338142E-01
    2    1   -0.12628614E-01  0.25585905E-02
    3    1    0.15729426E-01 -0.41005046E-01
    4    1    0.58327835E-02 -0.15397078E-01
    5    1    0.12626560E-01  0.35124246E-01
    6    1    0.26468922E-01 -0.36965968E-01
    7    1    0.78459011E-02  0.29483711E-02
    8    1    0.73517729E-02  0.18492292E-02
    9    1   -0.42847619E-02  0.12127862E-02
